ts_code,futu_code,exchange,name,delist_date,last_ddate
RU0306.SHF,RU0306,SHFE,橡胶0306,20030616,20030623
M0307.DCE,M0307,DCE,豆粕0307,20030714,20030718
A0307.DCE,A0307,DCE,豆一0307,20030714,20030721
RU0307.SHF,RU0307,SHFE,橡胶0307,20030715,20030722
AL0307.SHF,AL0307,SHFE,沪铝0307,20030715,20030722
CU0307.SHF,CU0307,SHFE,沪铜0307,20030715,20030722
WT0307.ZCE,WT307,CZCE,硬麦0307,20030723,20030731
WS0307.ZCE,WS307,CZCE,强麦0307,20030723,20030731
M0308.DCE,M0308,DCE,豆粕0308,20030814,20030820
RU0308.SHF,RU0308,SHFE,橡胶0308,20030815,20030822
AL0308.SHF,AL0308,SHFE,沪铝0308,20030815,20030822
CU0308.SHF,CU0308,SHFE,沪铜0308,20030815,20030822
M0309.DCE,M0309,DCE,豆粕0309,20030912,20030918
A0309.DCE,A0309,DCE,豆一0309,20030912,20030919
CU0309.SHF,CU0309,SHFE,沪铜0309,20030915,20030922
RU0309.SHF,RU0309,SHFE,橡胶0309,20030915,20030922
AL0309.SHF,AL0309,SHFE,沪铝0309,20030915,20030922
WT0309.ZCE,WT309,CZCE,硬麦0309,20030922,20030930
WS0309.ZCE,WS309,CZCE,强麦0309,20030922,20030930
CU0310.SHF,CU0310,SHFE,沪铜0310,20031015,20031022
RU0310.SHF,RU0310,SHFE,橡胶0310,20031015,20031022
AL0310.SHF,AL0310,SHFE,沪铝0310,20031015,20031022
A0311.DCE,A0311,DCE,豆一0311,20031114,20031121
M0311.DCE,M0311,DCE,豆粕0311,20031114,20031120
AL0311.SHF,AL0311,SHFE,沪铝0311,20031117,20031124
CU0311.SHF,CU0311,SHFE,沪铜0311,20031117,20031124
RU0311.SHF,RU0311,SHFE,橡胶0311,20031117,20031124
WS0311.ZCE,WS311,CZCE,强麦0311,20031120,20031128
WT0311.ZCE,WT311,CZCE,硬麦0311,20031120,20031128
AL0312.SHF,AL0312,SHFE,沪铝0312,20031215,20031222
CU0312.SHF,CU0312,SHFE,沪铜0312,20031215,20031222
WT0401.ZCE,WT401,CZCE,硬麦0401,20040112,20040130
WS0401.ZCE,WS401,CZCE,强麦0401,20040112,20040130
CU0401.SHF,CU0401,SHFE,沪铜0401,20040115,20040203
AL0401.SHF,AL0401,SHFE,沪铝0401,20040115,20040203
M0401.DCE,M0401,DCE,豆粕0401,20040115,20040202
A0401.DCE,A0401,DCE,豆一0401,20040115,20040129
RU0401.SHF,RU0401,SHFE,橡胶0401,20040115,20040203
CU0402.SHF,CU0402,SHFE,沪铜0402,20040216,20040223
AL0402.SHF,AL0402,SHFE,沪铝0402,20040216,20040223
A0403.DCE,A0403,DCE,豆一0403,20040312,20040319
M0403.DCE,M0403,DCE,豆粕0403,20040312,20040318
